L0A2-->Columns Header:, LevelCount, AutomataStep, AggregateState, Goal, StateDifference, DiversityCounter, LiveCellsCount, LiveCellsArea, LiveCellsDensity, StateId
1,1,0,1,0,1,------5,9,0.56,------1,
4,2,0,1,4,2,------9,25,0.36,------2,
7,3,0,1,12,3,------21,49,0.43,------3,
10,4,0,1,8,4,------29,81,0.36,------4,
13,5,0,1,12,5,------41,121,0.34,------5,
16,6,1,1,12,6,------53,169,0.31,------6,
19,7,1,1,36,7,------89,225,0.4,------7,
22,8,0,0,60,8,------29,169,0.17,------8,
25,9,0,0,24,8,------5,9,0.56,------1,
28,10,0,0,4,9,------1,1,1.0,------9,
31,11,0,0,1,10,------0,0,0.0,------10,
34,12,0,0,0,10,------0,0,0.0,------10,
37,13,0,0,0,10,------0,0,0.0,------10,
40,14,0,0,0,10,------0,0,0.0,------10,
43,15,0,0,0,10,------0,0,0.0,------10,
46,16,0,0,0,10,------0,0,0.0,------10,
49,17,0,1,0,10,------0,0,0.0,------10,
52,18,0,1,0,10,------0,0,0.0,------10,
55,19,0,1,0,10,------0,0,0.0,------10,
58,20,0,0,0,10,------0,0,0.0,------10,
61,21,0,0,0,10,------0,0,0.0,------10,
64,22,0,0,0,10,------0,0,0.0,------10,
67,23,0,0,0,10,------0,0,0.0,------10,
70,24,0,1,0,10,------0,0,0.0,------10,
73,25,0,1,0,10,------0,0,0.0,------10,
76,26,0,0,0,10,------0,0,0.0,------10,
79,27,0,0,0,10,------0,0,0.0,------10,
82,28,0,0,0,10,------0,0,0.0,------10,
85,29,0,0,0,10,------0,0,0.0,------10,
88,30,0,0,0,10,------0,0,0.0,------10,
91,31,0,0,0,10,------0,0,0.0,------10,
94,32,0,0,0,10,------0,0,0.0,------10,
97,33,0,0,0,10,------0,0,0.0,------10,
100,34,0,1,0,10,------0,0,0.0,------10,
103,35,0,0,0,10,------0,0,0.0,------10,
106,36,0,0,0,10,------0,0,0.0,------10,
109,37,0,0,0,10,------0,0,0.0,------10,
112,38,0,0,0,10,------0,0,0.0,------10,
115,39,0,0,0,10,------0,0,0.0,------10,
118,40,0,0,0,10,------0,0,0.0,------10,
121,41,0,0,0,10,------0,0,0.0,------10,
124,42,0,0,0,10,------0,0,0.0,------10,
127,43,0,0,0,10,------0,0,0.0,------10,
130,44,0,1,0,10,------0,0,0.0,------10,
133,45,0,1,0,10,------0,0,0.0,------10,
136,46,0,1,0,10,------0,0,0.0,------10,
139,47,0,0,0,10,------0,0,0.0,------10,
142,48,0,0,0,10,------0,0,0.0,------10,
145,49,0,0,0,10,------0,0,0.0,------10,
148,50,0,0,0,10,------0,0,0.0,------10,
151,51,0,1,0,10,------0,0,0.0,------10,
154,52,0,1,0,10,------0,0,0.0,------10,
157,53,0,0,0,10,------0,0,0.0,------10,
160,54,0,0,0,10,------0,0,0.0,------10,
163,55,0,0,0,10,------0,0,0.0,------10,
166,56,0,0,0,10,------0,0,0.0,------10,
169,57,0,0,0,10,------0,0,0.0,------10,
172,58,0,0,0,10,------0,0,0.0,------10,
175,59,0,0,0,10,------0,0,0.0,------10,
178,60,0,0,0,10,------0,0,0.0,------10,
181,61,0,1,0,10,------0,0,0.0,------10,
184,62,0,0,0,10,------0,0,0.0,------10,
187,63,0,0,0,10,------0,0,0.0,------10,
190,64,0,0,0,10,------0,0,0.0,------10,
193,65,0,0,0,10,------0,0,0.0,------10,
196,66,0,0,0,10,------0,0,0.0,------10,
199,67,0,0,0,10,------0,0,0.0,------10,
202,68,0,0,0,10,------0,0,0.0,------10,
205,69,0,0,0,10,------0,0,0.0,------10,
208,70,0,0,0,10,------0,0,0.0,------10,
211,71,0,1,0,10,------0,0,0.0,------10,
214,72,0,1,0,10,------0,0,0.0,------10,
217,73,0,1,0,10,------0,0,0.0,------10,
220,74,0,0,0,10,------0,0,0.0,------10,
223,75,0,0,0,10,------0,0,0.0,------10,
226,76,0,0,0,10,------0,0,0.0,------10,
229,77,0,0,0,10,------0,0,0.0,------10,
232,78,0,1,0,10,------0,0,0.0,------10,
235,79,0,1,0,10,------0,0,0.0,------10,
238,80,0,0,0,10,------0,0,0.0,------10,
241,81,0,0,0,10,------0,0,0.0,------10,
244,82,0,0,0,10,------0,0,0.0,------10,
247,83,0,0,0,10,------0,0,0.0,------10,
250,84,0,0,0,10,------0,0,0.0,------10,
253,85,0,0,0,10,------0,0,0.0,------10,
256,86,0,0,0,10,------0,0,0.0,------10,
259,87,0,0,0,10,------0,0,0.0,------10,
262,88,0,1,0,10,------0,0,0.0,------10,
265,89,0,0,0,10,------0,0,0.0,------10,
268,90,0,0,0,10,------0,0,0.0,------10,
271,91,0,0,0,10,------0,0,0.0,------10,
274,92,0,0,0,10,------0,0,0.0,------10,
277,93,0,0,0,10,------0,0,0.0,------10,
280,94,0,0,0,10,------0,0,0.0,------10,
283,95,0,0,0,10,------0,0,0.0,------10,
286,96,0,0,0,10,------0,0,0.0,------10,
289,97,0,0,0,10,------0,0,0.0,------10,
292,98,0,1,0,10,------0,0,0.0,------10,
295,99,0,1,0,10,------0,0,0.0,------10,
298,100,0,1,0,10,------0,0,0.0,------10,
301,101,0,0,0,10,------0,0,0.0,------10,
304,102,0,0,0,10,------0,0,0.0,------10,
307,103,0,0,0,10,------0,0,0.0,------10,
310,104,0,0,0,10,------0,0,0.0,------10,
313,105,0,1,0,10,------0,0,0.0,------10,
316,106,0,1,0,10,------0,0,0.0,------10,
319,107,0,0,0,10,------0,0,0.0,------10,
322,108,0,0,0,10,------0,0,0.0,------10,
325,109,0,0,0,10,------0,0,0.0,------10,
328,110,0,0,0,10,------0,0,0.0,------10,
331,111,0,0,0,10,------0,0,0.0,------10,
334,112,0,0,0,10,------0,0,0.0,------10,
337,113,0,0,0,10,------0,0,0.0,------10,
340,114,0,0,0,10,------0,0,0.0,------10,
343,115,0,1,0,10,------0,0,0.0,------10,
346,116,0,0,0,10,------0,0,0.0,------10,
349,117,0,0,0,10,------0,0,0.0,------10,
352,118,0,0,0,10,------0,0,0.0,------10,
355,119,0,0,0,10,------0,0,0.0,------10,
358,120,0,0,0,10,------0,0,0.0,------10,
361,121,0,0,0,10,------0,0,0.0,------10,
364,122,0,0,0,10,------0,0,0.0,------10,
367,123,0,0,0,10,------0,0,0.0,------10,
370,124,0,0,0,10,------0,0,0.0,------10,
373,125,0,1,0,10,------0,0,0.0,------10,
376,126,0,1,0,10,------0,0,0.0,------10,
379,127,0,1,0,10,------0,0,0.0,------10,
382,128,0,0,0,10,------0,0,0.0,------10,
385,129,0,0,0,10,------0,0,0.0,------10,
388,130,0,0,0,10,------0,0,0.0,------10,
391,131,0,0,0,10,------0,0,0.0,------10,
394,132,0,1,0,10,------0,0,0.0,------10,
397,133,0,1,0,10,------0,0,0.0,------10,
400,134,0,0,0,10,------0,0,0.0,------10,
403,135,0,0,0,10,------0,0,0.0,------10,
406,136,0,0,0,10,------0,0,0.0,------10,
409,137,0,0,0,10,------0,0,0.0,------10,
412,138,0,0,0,10,------0,0,0.0,------10,
415,139,0,0,0,10,------0,0,0.0,------10,
418,140,0,0,0,10,------0,0,0.0,------10,
421,141,0,0,0,10,------0,0,0.0,------10,
424,142,0,1,0,10,------0,0,0.0,------10,
427,143,0,0,0,10,------0,0,0.0,------10,
430,144,0,0,0,10,------0,0,0.0,------10,
433,145,0,0,0,10,------0,0,0.0,------10,
436,146,0,0,0,10,------0,0,0.0,------10,
439,147,0,0,0,10,------0,0,0.0,------10,
